name,sec
text_bison,549.7117929458618
gemini_pro,456.11487007141113
gpt_3_5,2752.8026034832
gpt_4,1070.9602489471436
ollama_mistral7B,1201.5581212043762
ollama_llama7B,1091.680312871933
ollama_llama13B,3446.577645301819
mistral_tiny,3814.5973172187805
mistral_small,908.788969039917
mistral_medium,666.963464975357
